gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
686426222	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8d3b5189-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN	NILGIRI HILLS		PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	11.41667	76.5											5787005	5220175	PRESERVED_SPECIMEN	KU	KUM	97318				CC_BY_4_0		HERRICK E H			2025-10-08T00:21:31.185Z		
5844565410	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/319699445	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Tamil Nadu	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.215741	76.932176	31199.0						2023-03-29T12:02	29	3	2023	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	319699445		Ramaa Ram	2025-10-09T04:26:33	CC_BY_NC_4_0	Ramaa Ram	Ramaa Ram			2025-10-20T22:41:13.208Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5843968227	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/320366623	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.179993	77.055197	31208.0						2025-10-10T14:56:28	10	10	2025	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	320366623		Catherin Mary Rebeiro	2025-10-12T09:58:51	CC_BY_NC_4_0	Catherin Mary Rebeiro	Catherin Mary Rebeiro			2025-10-20T22:41:33.336Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5840300819	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/318850290	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.109306	77.000159	31208.0						2022-01-16T11:31:44	16	1	2022	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	318850290		Riyan Konkath	2025-10-05T11:08:04	CC_BY_NC_4_0	Riyan Konkath	Riyan Konkath			2025-10-20T20:39:16.776Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5840213363	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/318143078	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.141534	77.179066	31208.0						2025-10-02T11:09:46	2	10	2025	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	318143078		Arun Jyothi	2025-10-02T06:28:01	CC_BY_NC_4_0	nandagopan_vp	nandagopan_vp			2025-10-20T21:42:31.519Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5831037978	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/315993872	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.0853	77.093267	31208.0						2020-01-05T11:45	5	1	2020	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	315993872		C Hewitt	2025-09-24T01:03:48	CC_BY_NC_4_0	Rakesh Dhareshwar	Rakesh Dhareshwar			2025-10-20T22:40:45.718Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5830802017	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/315499991	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.190567	77.182898	31208.0						2025-09-21	21	9	2025	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	315499991		pratheethi	2025-09-21T12:23:16	CC_BY_NC_4_0	pratheethi	pratheethi			2025-10-20T20:39:45.725Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5828324781	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/313304628	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.060978	77.079511	31208.0						2025-07-01T15:51	1	7	2025	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	313304628		C Hewitt	2025-09-12T12:00:50	CC_BY_NC_4_0	dpshyd	dpshyd			2025-10-20T21:41:40.497Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5761205352	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/309085997	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.119086	77.140563	31208.0						2025-01-21T08:47	21	1	2025	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	309085997		johnharshman	2025-08-25T20:18:24	CC_BY_NC_4_0	johnharshman	johnharshman			2025-10-20T22:40:07.743Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5759828407	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/309717554	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.114387	77.014107	31208.0						2013-12-09T10:14	9	12	2013	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	309717554		SGSHANKAR	2025-08-28T13:37:34	CC_BY_NC_4_0	SGSHANKAR	SGSHANKAR			2025-10-20T20:38:07.965Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
