gbifID,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,day,month,year
984448535,Ranthambore NP--entry road & fort,Rajasthan,,26.034689,76.43815,31,12,2009
980351658,Ranthambore NP,Rajasthan,,26.012978,76.503296,3,1,2009
980224620,"Ramdevara Betta, Ramanagara",Karnataka,3.0,12.752204,77.3003,29,9,2013
980038241,Ranthambore NP,Rajasthan,2.0,26.012978,76.503296,16,11,2012
979633311,Ranthambore NP,Rajasthan,,26.012978,76.503296,10,11,2003
978798015,AM Gudi,Karnataka,2.0,11.825686,76.32529,20,12,2013
977734877,Jaswant Thada,Rajasthan,2.0,26.304302,73.024086,3,10,2003
977700548,Bharatpur--Keoladeo Ghana NP,Rajasthan,,27.161905,77.5228,13,10,2003
976688474,Jodhpur,Rajasthan,2.0,26.29882,73.019356,31,12,2013
976170713,Pench NP,Madhya Pradesh,,21.787558,79.26619,9,11,2013
976074260,Pench NP,Madhya Pradesh,,21.787558,79.26619,7,11,2013
975989619,Pench NP,Madhya Pradesh,,21.787558,79.26619,8,11,2013
973068927,"Ramnagaram, Karnataka, India",Karnataka,,12.747517,77.29869,1,8,2011
971958805,Bundi Lake,Rajasthan,1.0,25.446337,75.633446,10,11,2013
969716110,Kanha Tiger Reserve,Madhya Pradesh,1.0,22.29545,80.5957,8,3,2009
969678477,Kanha Tiger Reserve,Madhya Pradesh,1.0,22.29545,80.5957,8,3,2009
960091094,"Merck meat factory tip, Usgao",Goa,1.0,15.43794,74.06152,22,12,2001
944608838,Harishchandragad,Maharashtra,2.0,19.388784,73.77049,28,4,2012
942519398,Bandhavgarh NP,Madhya Pradesh,1.0,23.690413,81.01825,4,3,2013
942368252,Ranthambore NP,Rajasthan,1.0,26.012978,76.503296,16,2,2013
942202106,Bandhavgarh NP,Madhya Pradesh,1.0,23.690413,81.01825,4,3,2013
942158319,Bandhavgarh NP,Madhya Pradesh,1.0,23.690413,81.01825,4,3,2013
940335699,Bandhavgarh NP,Madhya Pradesh,1.0,23.690413,81.01825,7,2,2013
939785285,"Ramadevara betta, Ramanagaram, SH17",Karnataka,1.0,12.7525,77.30111,17,2,2013
938607643,Ranthambore NP,Rajasthan,1.0,25.977798,76.46896,5,12,2012
937357783,IN-KA-near Kotthipura-12.7475x77.2998 -0706,Karnataka,1.0,12.74748,77.29984,21,1,2013
937324294,IN-KA-near Kotthipura-12.7480x77.2995 -0914,Karnataka,1.0,12.748049,77.29945,21,1,2013
937149272,IN-KA-near Kotthipura-12.7480x77.2995 -0914,Karnataka,1.0,12.748049,77.29945,21,1,2013
937111312,IN-KA-near Kotthipura-12.7475x77.2998 -0706,Karnataka,1.0,12.74748,77.29984,21,1,2013
